Time,Position_x,Position_y,Position_z,Target_x,Target_y,Target_z
[9.062],0.291770313477069,0.036487403216929434,0.0,0.15650490377408674,0.5792289832999241,0.0
[9.064],0.291770313477069,0.036487403216929434,0.0,0.1555341770692557,0.5794903966101503,0.0
[9.066],0.291770313477069,0.036487403216929434,0.0,0.15456301372501074,0.5797501830859928,0.0
[9.068],0.291770313477069,0.036487403216929434,0.0,0.15359141646775126,0.5800083419981387,0.0
[9.07],0.291770313477069,0.036487403216929434,0.0,0.1526193880250931,0.580264872621845,0.0
[9.072],0.291770313477069,0.036487403216929434,0.0,0.15164693112586478,0.5805197742369395,0.0
[9.074],0.291770313477069,0.036487403216929434,0.0,0.1506740485000955,0.5807730461278233,0.0
[9.076],0.291770313477069,0.036487403216929434,0.0,0.14970074287901172,0.5810246875834727,0.0
[9.078],0.2908233614368938,0.04143377315716896,0.0,0.14872701699502536,0.5812746978974411,0.0
[9.08],0.2908233614368938,0.04143377315716896,0.0,0.1477528735817302,0.5815230763678612,0.0
[9.082],0.2908233614368938,0.04143377315716896,0.0,0.1467783153738901,0.5817698222974468,0.0
[9.084],0.2908233614368938,0.04143377315716896,0.0,0.14580334510743548,0.5820149349934949,0.0
[9.086],0.2908233614368938,0.04143377315716896,0.0,0.14482796551945148,0.5822584137678876,0.0
[9.088],0.2908233614368938,0.04143377315716896,0.0,0.1438521793481739,0.5825002579370938,0.0
[9.09],0.2908233614368938,0.04143377315716896,0.0,0.14287598933297996,0.5827404668221713,0.0
[9.092],0.2908233614368938,0.04143377315716896,0.0,0.14189939821437908,0.5829790397487693,0.0
[9.094],0.2908233614368938,0.04143377315716896,0.0,0.14092240873400874,0.5832159760471286,0.0
[9.096],0.2908233614368938,0.04143377315716896,0.0,0.13994502363462277,0.5834512750520859,0.0
[9.098],0.29113923591803686,0.048902679266824935,0.0,0.13896724566008764,0.5836849361030734,0.0
[9.1],0.29113923591803686,0.048902679266824935,0.0,0.13798907755537076,0.583916958544122,0.0
[9.102],0.29113923591803686,0.048902679266824935,0.0,0.13701052206653674,0.5841473417238625,0.0
[9.104],0.29113923591803686,0.048902679266824935,0.0,0.13603158194073575,0.5843760849955283,0.0
[9.106],0.29113923591803686,0.048902679266824935,0.0,0.13505225992619976,0.5846031877169556,0.0
[9.108],0.29113923591803686,0.048902679266824935,0.0,0.13407255877223087,0.5848286492505874,0.0
[9.11],0.29113923591803686,0.048902679266824935,0.0,0.13309248122919695,0.5850524689634732,0.0
[9.112],0.29113923591803686,0.048902679266824935,0.0,0.13211203004852273,0.5852746462272719,0.0
[9.114],0.29113923591803686,0.048902679266824935,0.0,0.13113120798268013,0.5854951804182533,0.0
[9.116],0.29113923591803686,0.048902679266824935,0.0,0.13015001778518448,0.5857140709173001,0.0
[9.118],0.2899915134109979,0.054019955277385054,0.0,0.12916846221058242,0.5859313171099094,0.0
[9.12],0.2899915134109979,0.054019955277385054,0.0,0.12818654401444846,0.5861469183861943,0.0
[9.122],0.2899915134109979,0.054019955277385054,0.0,0.12720426595337309,0.5863608741408857,0.0
[9.124],0.2899915134109979,0.054019955277385054,0.0,0.126221630784959,0.586573183773334,0.0
[9.126],0.2899915134109979,0.054019955277385054,0.0,0.12523864126780945,0.5867838466875114,0.0
[9.128],0.2899915134109979,0.054019955277385054,0.0,0.12425530016152452,0.5869928622920124,0.0
[9.13],0.2899915134109979,0.054019955277385054,0.0,0.12327161022668928,0.5872002300000565,0.0
[9.132],0.2899915134109979,0.054019955277385054,0.0,0.12228757422486958,0.587405949229489,0.0
[9.134],0.2899915134109979,0.054019955277385054,0.0,0.12130319491860286,0.5876100194027833,0.0
[9.136],0.2899915134109979,0.054019955277385054,0.0,0.12031847507138875,0.5878124399470426,0.0
[9.138],0.28870120246447223,0.05890616729271879,0.0,0.11933341744768497,0.5880132102940006,0.0
[9.14],0.28870120246447223,0.05890616729271879,0.0,0.11834802481289544,0.588212329880024,0.0
[9.142],0.28870120246447223,0.05890616729271879,0.0,0.11736229993336666,0.5884097981461138,0.0
[9.144],0.28870120246447223,0.05890616729271879,0.0,0.11637624557637574,0.5886056145379069,0.0
[9.146],0.28870120246447223,0.05890616729271879,0.0,0.1153898645101269,0.5887997785056772,0.0
[9.148],0.28870120246447223,0.05890616729271879,0.0,0.11440315950373936,0.588992289504338,0.0
